;id;name;area
639;2222;ЕВРОЦЕМЕНТ груп;1
640;1420859;Retail Personal;2077
641;3337;Schneider Electric;1
642;5724811;Спецремонт;2
643;789662;Semrush;2
644;3765561;Smartseeds;1
645;5318144;Gaijin Games;114
646;1982;Валента Фармацевтика;1
647;35465;ГРАН;1
648;161415;Астерит;3
649;53797;ЭФКО, Управляющая компания;26
650;2398862;Санталь 23;53
651;1086880;EventyOn;1
652;1579449;idaproject;1
653;343;СофтБаланс;2
654;5272483;Компания «Кронштадт»;1
655;2044164;Что делать Заполярье;64
656;2343;Спортмастер;1
657;41279;НПФ Завод ИЗМЕРОН;2
658;17688;ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ;1
659;1571048;Карго Траст;23
660;1867490;Новейшие Технологии ЛС;1
661;2156053;Валарм;1
662;970716;Bronevik.com;3
663;210154;DataLine, Компания;113
664;743074;АгроЦентр;26
665;661337;AVRIO Group Consulting;2
666;4006;QSOFT;1
667;47858;Центральный банк Российской Федерации;1
668;42080;Такском;113
669;167333;Управление информационными проектами;88
670;24714;Экс Морэ;1
671;19623;Simple;1
672;2015060;Дунайс;1550
673;215942;Випакс+;72
674;214660;Аэродинамика;53
675;3676644;Domeo;1
676;5566914;KAMAZ DIGITAL;2
677;851604;Andersen;1002
678;7170;Воздухотехника;1
679;1681293;АйПиМатика;1
680;1351018;ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ;78
681;1942330;Пятёрочка;1
682;576374;Saber Interactive (Minsk);1002
683;958733;Вайзор Геймз;1002
684;894414;ЕТелеком;2
685;3654805;Мотовилиха - гражданское машиностроение;72
686;4960417;Талала;1
687;3031687;ГЭХ Теплостройпроект;1
688;592386;Саратовский электроприборостроительный завод им. Серго Орджоникидзе;79
689;3604473;Юдинцев Дмитрий Валерьевич;49
690;683210;DAIMLER KAMAZ RUS;1641
691;1748732;ИнСистем;19
692;5333428;L’etoile Digital;1
693;3190372;Игро Тэк;1002
694;723254;Pandora;1
695;3380507;AppQuantum;1
696;2733062;Лига Цифровой Экономики;1
697;25763;Фольксваген Груп Рус;1
698;2594594;FriendWork;2
699;775285;Techport.ru;1
700;5403422;Buyk;1
701;4326167;Пауэр Тех;77
702;55841;ПРОМЕТ;113
703;83197;ЭОКБ Сигнал им. А.И. Глухарёва, г. Энгельс;1613
704;3952803;Хабер;1
705;1587;КОМПЛИТ;2
706;1829949;Звук;1
707;6189;Bell Integrator;113
708;2639549;СП ООО «PRIME MEDIA SOLUTION».;2759
709;747189;Системные технологии;1002
710;50545;Ресурс, ГАП;1438
711;4693840;Betterstore;1
712;3914109;Корсис;54
713;725989;Атос АйТи Солюшенс энд Сервисез;26
714;4359844;Правильная энергетика;53
715;2624085;Вкусно - и точка;1
716;1619010;BSC Msc;23
717;669587;Этажи, федеральная компания;95
718;2695590;Чиббис;2
719;41903;Специальные системы и технологии;2019
720;1194366;Компания Ритейл Сервис;11
721;54979;АШАН Ритейл Россия;113
722;886732;РЕСИЛИО БЛР;1002
723;1060857;Лаверт Инжиниринг;1624
724;157203;ТЕЛЕКОНТАКТ;89
725;130150;Моё дело;1
726;2104700;СБЕР (ООО еАптека);1
727;2032205;Приложение «Кошелёк»;2
728;3931801;Finflow Software Solutions;1
729;3634424;Ростелеком Контакт-центр;1
730;3582542;Ипотека.Центр;1
731;5588;AXELOT;1
732;3345543;Content Service;95
733;646166;Морион;72
734;1483185;Beanetto;41
735;3926495;ЛИЦА;1
736;4808331;РК-ЦИФРА;1
737;5237447;Служба Добрых Дел;1
738;1787419;Spark Equation;113
739;2378358;Здоровье и Комфорт;237
740;4504791;Инноскрипта Интернешнл;2
741;125662;Юнайтед Парсел Сервис - UPS;1
742;808020;Белгазпромбанк;1002
743;3227397;Alfacash;5047
744;5344909;Encore;2086
745;1093339;Класс - информационные технологии для бизнеса;1
746;829490;Qulix Systems;1002
747;1107065;Теплоэнерго;1679
748;207324;КонсультантПлюс-Ставрополье;84
749;25395;Сервье;113
750;12197;Zeppelin Group;1
751;4313727;ZELF;1
752;2100214;НПЦ ИНФОТРАНС;78
753;5627676;BrainRocket;236
754;5218500;Экотехпром;237
755;153297;VOKS-IT;1
756;1050336;Безлимит;1
757;1751001;ARRIVAL LTD;2758
758;2537115;Розничная сеть МТС;1
759;37151;ФОРА-БАНК, АКБ;1
760;42954;НПФ ЭВОЛЮЦИЯ;113
761;855219;Нетология;1
762;1911144;Performance Group;1
